system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EVI,GCVI,Label,MNDWI,NDBI,NDVI,NDWI,.geo
39_0,277.0,92.0,67.0,364.0,494.0,298.0,227.0,119.0,146.0,116.0,105.0,80.0,0.5515151515151515,-0.7651821862348178,Water,0.68600684,-0.115384616,-0.43961352,0.6196721,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.5793106309374325,50.23913566390415]}"
40_0,475.0,1093.0,1083.0,1102.0,1434.0,1524.0,1207.0,1181.0,1154.0,1995.0,1326.0,498.0,0.40956521739130436,0.39121338912133896,Water,0.13494262,-0.29209843,0.13384484,-0.16360454,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.875215685526403,49.97359366591842]}"
41_0,157.0,518.0,208.0,83.0,108.0,83.0,178.0,436.0,563.0,397.0,595.0,2042.0,2.8702010968921385,2.675925925925926,Water,-0.65495205,0.13224044,0.65416664,-0.57227725,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.881593724043651,50.69206623015722]}"
42_0,341.5,108.0,71.5,416.0,537.0,245.0,206.5,151.5,177.0,155.0,177.0,219.5,0.1506024096385542,-0.7113594040968343,Water,0.66511625,-0.17870723,-0.225,0.5520231,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.274247334732294,48.98841129382454]}"
43_0,247.0,256.0,130.5,326.5,452.5,290.0,255.5,324.5,373.0,245.5,472.0,767.0,0.2406706327744727,-0.45745856353591163,Water,0.2773465,0.020937188,-0.08309991,0.2965616,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.604822785006427,50.40002393128996]}"
44_0,182.0,134.0,85.0,211.0,233.5,141.5,131.5,114.0,145.0,128.0,126.0,382.0,0.05583126550868486,-0.45182012847965736,Water,0.2707483,0.022900764,-0.050092764,0.29183957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.176506057538239,50.01455684287427]}"
45_0,118.5,136.5,95.0,158.5,222.0,133.0,109.0,82.5,115.5,149.5,138.5,352.0,-0.1716961498439126,-0.32657657657657657,Water,0.23849373,-0.045454547,0.05840708,0.19515477,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.063048837153944,49.96847326879894]}"
46_0,321.0,164.5,113.5,410.0,554.5,348.0,315.0,268.5,283.0,256.5,249.5,217.0,0.3135709389993146,-0.5374211000901713,Water,0.54242,-0.21852732,-0.15136476,0.36744758,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.27181730918332,50.568727541647604]}"
47_0,275.0,280.0,154.0,368.0,527.0,354.5,290.5,172.5,194.5,249.5,210.0,576.5,0.6862745098039216,-0.5265654648956357,Water,0.30607188,0.05760151,-0.17384106,0.35737282,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.480855275797933,50.41071388317098]}"
48_0,241.0,940.0,476.0,304.0,503.0,328.5,518.5,1365.5,1747.5,3201.5,1910.0,1954.0,2.4822878866424745,5.364811133200795,Water,-0.3028413,-0.5460582,0.81388104,-0.7284384,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.8412593677866855,49.8088426428109]}"
49_0,161.0,136.0,97.0,187.5,222.5,167.0,180.0,126.0,165.0,149.5,167.0,552.5,0.1724137931034483,-0.32808988764044944,Water,0.24128312,-0.047285464,-0.05529226,0.19623657,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.843500581715133,49.81360371381673]}"
50_0,244.0,570.5,319.0,184.5,251.5,159.5,352.5,754.5,950.0,524.0,942.0,2279.5,9.274809160305344,1.0834990059642147,Water,-0.38807786,0.04248515,0.53328454,-0.3513862,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.189801123743208,50.10519685504193]}"
51_0,239.0,726.0,378.0,377.0,572.0,436.0,785.0,1237.0,1355.0,1618.0,1356.0,2195.0,2.0994671403197156,1.8286713286713288,Water,-0.118644066,-0.38054606,0.5754625,-0.47762558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.319342761995095,49.95472904495191]}"
52_0,314.0,1041.0,600.0,262.0,462.0,329.0,577.0,1618.0,1886.0,2680.0,2059.0,2130.0,2.1849442379182156,4.800865800865801,Water,-0.38522953,-0.440473,0.7813227,-0.7059198,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.335781931694482,49.12073313517535]}"
53_0,256.0,122.0,76.0,384.0,534.0,345.0,311.0,170.0,178.0,159.0,145.0,177.0,0.7153846153846154,-0.702247191011236,Water,0.6280488,-0.13167259,-0.3690476,0.54112554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.584520859585326,50.40047308893202]}"
54_0,217.0,1330.0,632.0,262.0,357.0,204.0,836.0,2142.0,2671.0,2050.0,2927.0,3289.0,3.5229007633587788,4.742296918767507,Water,-0.5767635,-0.21301775,0.81898844,-0.7033652,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.374135420044534,50.448353293575586]}"
