system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EVI,EVI_1,GCVI,GCVI_1,Label,MNDWI,MNDWI_1,NDBI,NDBI_1,NDVI,NDVI_1,NDWI,NDWI_1,.geo
190_0,170.5,1758.0,780.0,289.5,553.0,278.5,883.5,3045.5,3815.5,4110.0,4063.0,4008.5,2.6528422072976525,2.6528422072976525,6.432188065099457,6.432188065099457,Tree,-0.5214193,-0.5214193,-0.400818,-0.400818,0.87307733,0.87307733,-0.7628136,-0.7628136,"{""geodesic"":false,""type"":""Point"",""coordinates"":[177.8983613640157,-17.444968407251665]}"
191_0,265.0,1790.0,706.0,320.0,526.0,244.0,983.0,3207.0,3819.0,3888.0,4061.0,3995.0,3.084998306806637,3.084998306806637,6.391634980988593,6.391634980988593,Tree,-0.54576856,-0.54576856,-0.36949632,-0.36949632,0.8818974,0.8818974,-0.76166743,-0.76166743,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.97948380845355,-16.64034740726581]}"
192_0,233.0,1692.0,825.0,288.0,474.0,353.0,794.0,2248.0,2814.0,2802.0,3149.0,3415.0,2.217493661716769,2.217493661716769,4.9113924050632916,4.9113924050632916,Tree,-0.56232685,-0.56232685,-0.246996,-0.246996,0.7762282,0.7762282,-0.7106227,-0.7106227,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.84446702125038,-16.646276288141]}"
193_0,353.0,1213.5,431.0,244.5,502.0,275.5,905.5,3159.0,4177.5,4104.0,4446.5,4116.0,2.439001083009492,2.439001083009492,7.175298804780876,7.175298804780876,Tree,-0.4147479,-0.4147479,-0.5435825,-0.5435825,0.8741866,0.8741866,-0.78202343,-0.78202343,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.93070528852584,-16.47514722651623]}"
194_0,260.5,1582.5,688.5,293.0,481.0,274.0,876.5,2370.0,2863.0,2740.0,3264.0,3389.5,2.8182857142857145,2.8182857142857145,4.696465696465697,4.696465696465697,Tree,-0.5338018,-0.5338018,-0.26778483,-0.26778483,0.8181818,0.8181818,-0.701335,-0.701335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[179.69193766028874,-16.280841630561177]}"
195_0,268.0,1844.0,867.0,322.0,686.0,358.0,998.0,3389.0,4464.0,4864.0,4547.0,4573.0,2.449978251413658,2.449978251413658,6.090379008746356,6.090379008746356,Tree,-0.45770752,-0.45770752,-0.4502087,-0.4502087,0.8628878,0.8628878,-0.7527928,-0.7527928,"{""geodesic"":false,""type"":""Point"",""coordinates"":[179.9019637737159,-16.960327311469182]}"
196_0,140.0,1490.0,673.0,259.0,551.0,320.0,813.0,2516.0,3116.0,3388.0,3422.0,3128.0,2.278330610426259,2.278330610426259,5.1488203266787655,5.1488203266787655,Tree,-0.46006858,-0.46006858,-0.3890939,-0.3890939,0.8274002,0.8274002,-0.72023356,-0.72023356,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.35416653917795,-17.92934000844891]}"
197_0,607.0,2021.0,1212.0,371.5,664.5,431.0,1091.5,2988.5,3662.0,3378.0,3982.0,3823.0,2.3177349587101848,2.3177349587101848,4.0835214446952595,4.0835214446952595,Tree,-0.5051201,-0.5051201,-0.25134283,-0.25134283,0.77369386,0.77369386,-0.6712431,-0.6712431,"{""geodesic"":false,""type"":""Point"",""coordinates"":[179.1355211733051,-16.519613833080147]}"
198_0,297.5,1992.5,1190.0,383.0,553.0,549.5,988.5,1828.5,2123.5,2113.0,2417.5,2467.0,1.5397872759503644,1.5397872759503644,2.820976491862568,2.820976491862568,Rock,-0.56550777,-0.56550777,-0.029350871,-0.029350871,0.58723,0.58723,-0.5851463,-0.5851463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[178.7100790547461,-16.710595662483957]}"
199_0,280.5,1820.5,955.5,490.5,820.0,786.5,1262.5,2939.5,3479.0,2871.0,3628.5,4335.5,1.332033995782478,1.332033995782478,2.5012195121951217,2.5012195121951217,Rock,-0.3789055,-0.3789055,-0.22391559,-0.22391559,0.56992483,0.56992483,-0.555676,-0.555676,"{""geodesic"":false,""type"":""Point"",""coordinates"":[179.40654289452397,-16.55518711833128]}"
